Employee ID,First Name,Last Name,DOB,Anon SSN,State
232,John,Mathews,02/24/1991,xxx-xx-9165,No
533,Nathan,Moore,11/19/1978,xxx-xx-7469,Ma
256,Amanda,Douglas,01/08/1990,xxx-xx-6961,Id
189,Heather,Andrews,08/11/1976,xxx-xx-1797,Ve
284,Daniel,Hernandez,07/22/1976,xxx-xx-7473,Co
512,Danny,Pena,01/31/1978,xxx-xx-9878,Mi
126,Gary,Knight,03/08/1994,xxx-xx-1242,Ar
556,Robin,Carroll,10/14/1972,xxx-xx-7194,Ca
595,Michelle,Dickerson,02/08/1984,xxx-xx-2817,Te
191,Kimberly,Gallegos,08/05/1972,xxx-xx-7563,Or
55,Morgan,Parker,01/30/1986,xxx-xx-4320,Te
623,Mason,Rhodes,01/28/1977,xxx-xx-4767,Ma
426,Amy,Griffin,02/18/1973,xxx-xx-1946,Ma
535,Danielle,House,04/16/1975,xxx-xx-9308,Ma
399,Charles,Greene,11/28/1992,xxx-xx-2935,Ke
33,Nicholas,Martinez,04/05/1979,xxx-xx-1689,Lo
302,Tracey,Meadows,01/12/1988,xxx-xx-6175,Rh
325,Renee,Evans,03/14/1991,xxx-xx-2708,Mo
188,Joseph,Estrada,03/29/1984,xxx-xx-2571,Pe
184,Jeremy,Warner,10/20/1987,xxx-xx-1184,Al
526,Anthony,Rodriguez,02/09/1983,xxx-xx-3865,Id
85,Kristen,Lopez,01/02/1978,xxx-xx-8194,Vi
171,Mark,Mcdonald,06/27/1984,xxx-xx-0101,Mo
74,Robert,Freeman,01/01/1984,xxx-xx-5211,Ar
69,Michael,Reynolds,10/30/1994,xxx-xx-8507,Ca
365,Kristine,Little,07/10/1974,xxx-xx-1771,So
149,April,Barnes,02/15/1983,xxx-xx-3288,Rh
218,Pamela,Hodges,02/19/1989,xxx-xx-1423,Ut
647,Ronald,Gilbert,05/26/1974,xxx-xx-4448,Wy
518,Thomas,Cooper,08/17/1972,xxx-xx-9890,Co
12,Dakota,Harrington,08/24/1972,xxx-xx-7188,Vi
622,Jennifer,Porter,01/20/1991,xxx-xx-5572,Wi
159,Beverly,Jordan,08/15/1986,xxx-xx-3762,Ne
394,Mark,Brown,04/02/1975,xxx-xx-8531,Ca
158,Amy,Ford,06/05/1974,xxx-xx-6461,No
446,Benjamin,King,05/07/1973,xxx-xx-8165,Rh
352,Stephen,Bryant,05/15/1991,xxx-xx-6488,So
598,Brandi,Williams,10/15/1989,xxx-xx-8500,Ma
505,Ashley,Hutchinson,04/26/1994,xxx-xx-1510,So
173,Alisha,Pacheco,01/13/1982,xxx-xx-2496,Mi
84,Robert,Campbell,02/27/1973,xxx-xx-9581,So
406,Sandra,Sanders,10/06/1980,xxx-xx-1673,Rh
164,Katherine,Hensley,05/29/1991,xxx-xx-7226,Co
267,Stacy,Cox,11/08/1976,xxx-xx-0990,Al
503,Frank,Barton,06/10/1993,xxx-xx-5568,Ma
295,Shannon,Kramer,05/04/1980,xxx-xx-7615,So
590,Brenda,James,12/31/1977,xxx-xx-3251,Ha
97,Paula,Edwards,08/10/1988,xxx-xx-0638,Ka
3,Jennifer,Rowe,09/16/1980,xxx-xx-9014,Ne
20,David,Foster,01/09/1990,xxx-xx-6956,Mi
179,William,Boyle,01/30/1988,xxx-xx-0490,Ar
86,Christopher,Greene,05/29/1972,xxx-xx-8446,Id
219,Matthew,Fuller,04/27/1980,xxx-xx-2989,Mi
